,City,Country,Datetime,Latitude,Longitude,Max temperature (c),Humidity (%),Cloudiness (%),Wind Speed (mps)
365,siddipet,IN,1634715710,18.1,78.85,28.68,58,23,3.98
366,kosmynino,RU,1634715711,57.5818,40.7643,0.71,74,97,3.89
367,itupiranga,BR,1634715712,-5.1347,-49.3267,25.18,95,51,1.29
368,lumberton,US,1634715714,34.6182,-79.0086,15.19,54,100,2.72
369,halifax,CA,1634715715,44.6453,-63.5724,6.96,93,100,1.03
370,taoudenni,ML,1634715716,22.6783,-3.9836,24.62,24,1,8.15
371,ouadda,CF,1634715718,8.0777,22.4007,24.03,83,98,2.7
372,birzai,LT,1634715719,56.2,24.75,8.99,93,100,8.12
373,bol,TD,1634715721,13.4586,14.7147,29.52,44,4,3.01
374,kutum,SD,1634715723,14.2,24.6667,28.97,14,26,10.22
375,xocali,AZ,1634715724,39.913,46.7903,12.36,77,100,2.09
376,derzhavinsk,KZ,1634715726,51.1,66.3167,13.54,30,100,6.81
377,constitucion,CL,1634715726,-35.3333,-72.4167,12.51,87,96,3.63
378,cradock,ZA,1634715728,-32.1642,25.6192,23.77,15,0,4.24
379,jamiltepec,MX,1634715730,16.2833,-97.8167,20.49,95,100,1.59
380,bonthe,SL,1634715732,7.5264,-12.505,26.82,80,98,0.61
381,husavik,IS,1634715733,66.0449,-17.3389,-1.05,69,100,10.64
382,nola,IT,1634715735,40.922,14.5329,20.17,77,2,25.48
383,tangara,BR,1634715736,-6.1994,-35.8017,24.13,91,61,1.56
384,bara,NG,1634715738,10.3744,10.7288,25.88,77,94,4.64
385,pinsk,BY,1634715740,52.1229,26.0951,9.61,71,100,6.74
386,rawson,AR,1634715741,-43.3002,-65.1023,16.83,49,0,7.2
387,gazanjyk,TM,1634715743,39.2446,55.5154,20.6,48,28,4.63
388,lazaro cardenas,MX,1634715745,17.9583,-102.2,25.41,89,92,2.13
389,grand gaube,MU,1634715746,-20.0064,57.6608,26.88,63,7,3.13
390,micheweni,TZ,1634715748,-4.9667,39.8333,28.24,65,72,4.68
391,lagos,NG,1634715749,6.5833,3.75,25.18,86,100,1.39
392,kasane,BW,1634715751,-17.8167,25.15,28.05,41,8,4.43
393,najran,SA,1634715753,17.4924,44.1277,29.36,16,33,7.38
394,goianesia,BR,1634715754,-15.3175,-49.1175,21.54,76,93,0.75
395,juodupe,LT,1634715757,56.0833,25.6167,8.12,94,100,7.19
396,sciacca,IT,1634715758,37.5082,13.0881,19.7,65,3,0.84
397,goma,CD,1634715760,-1.6792,29.2228,22.16,73,75,4.12
398,egvekinot,RU,1634715762,66.3167,-179.1667,-5.76,85,100,5.14
399,gryazovets,RU,1634715763,58.88,40.2525,1.49,71,65,2.42
400,lahij,YE,1634715765,13.1667,44.5833,31.28,38,88,3.31
401,whitehorse,CA,1634715735,60.7161,-135.0538,2.43,80,75,7.72
402,walvis bay,NA,1634715767,-22.9575,14.5053,14.53,88,90,3.09
403,isagarh,IN,1634715769,24.8333,77.8833,29.28,34,6,4.63
404,khash,IR,1634715769,28.2211,61.2158,29.57,13,0,4.46
405,quatre cocos,MU,1634715771,-20.2078,57.7625,26.72,59,7,5.53
406,sozimskiy,RU,1634715772,59.7418,52.2482,2.13,69,100,2.92
407,viedma,AR,1634715774,-40.8135,-62.9967,13.92,41,0,4.65
408,francisco beltrao,BR,1634715776,-26.0811,-53.055,12.1,97,4,2.2
409,snasa,NO,1634715777,64.2457,12.3778,4.67,98,100,2.16
410,puerto escondido,MX,1634715780,15.85,-97.0667,25.48,86,100,1.46
411,felanitx,ES,1634715781,39.4696,3.1483,19.42,60,9,2.7
412,saint-joseph,RE,1634715782,-21.3667,55.6167,26.21,71,35,4.25
413,general roca,AR,1634715784,-39.0333,-67.5833,17.57,35,0,7.56
414,shakhtinsk,KZ,1634715786,49.71,72.5872,16.31,26,99,6.72
415,filingue,NE,1634715786,14.3521,3.3168,31.03,50,39,6.27
416,severodvinsk,RU,1634715788,64.5635,39.8302,1.06,71,100,3.7
417,baherden,TM,1634715789,38.4362,57.4316,22.2,39,50,2.22
418,ukiah,US,1634715791,39.1502,-123.2078,13.01,93,90,3.6
419,davidson,US,1634715792,36.1501,-86.7833,13.44,84,1,0.45
420,caranavi,BO,1634715793,-15.8167,-67.55,16.01,87,100,0.84
421,harpanahalli,IN,1634715795,14.8,75.9833,29.57,52,61,1.55
422,chapais,CA,1634715795,49.7834,-74.8492,4.88,94,100,2.25
423,mandera,KE,1634715796,3.9366,41.867,29.8,53,99,4.4
424,okha,RU,1634715798,53.5739,142.9478,-0.53,79,99,2.53
425,clyde river,CA,1634715800,70.4692,-68.5914,-2.34,79,99,0.97
426,veraval,IN,1634715802,20.9,70.3667,28.77,53,0,3.3
427,radovitskiy,RU,1634715802,55.1282,39.7956,2.48,69,100,2.82
428,menongue,AO,1634715804,-14.6585,17.691,25.98,51,74,1.82
429,grindavik,IS,1634715805,63.8424,-22.4338,0.26,69,75,7.72
430,bosconia,CO,1634715807,9.9689,-73.8836,22.61,98,13,1.61
431,paola,IT,1634715808,39.3599,16.0396,18.16,66,3,1.28
432,teguise,ES,1634715810,29.0605,-13.564,19.12,88,20,4.63
433,porbandar,IN,1634715811,21.6422,69.6093,28.79,49,2,3.67
434,aswan,EG,1634715597,24.0934,32.907,27.61,28,0,6.17
435,umm lajj,SA,1634715812,25.0213,37.2685,29.91,50,0,4.23
436,zemio,CF,1634715814,5.0314,25.1361,23.07,92,100,2.42
437,belmonte,BR,1634715816,-15.8631,-38.8828,24.28,85,81,3.12
438,hofn,IS,1634715817,64.2539,-15.2082,-0.21,62,5,9.89
439,reitz,ZA,1634715820,-27.8014,28.4273,18.73,37,0,3.49
440,melfi,IT,1634715821,40.9965,15.6514,17.21,56,0,2.03
441,west bay,KY,1634715823,19.3667,-81.4167,27.78,82,93,0.89
442,preeceville,CA,1634715824,51.95,-102.6677,-1.57,73,0,2.32
443,rorvik,NO,1634715825,64.8621,11.2373,6.06,100,75,3.6
444,dhidhdhoo,MV,1634715827,6.8833,73.1,27.51,75,78,6.5
445,saint george,US,1634715828,37.1041,-113.5841,11.41,51,1,0.89
446,lima,PE,1634715830,-12.0432,-77.0282,16.61,83,90,5.14
447,iquique,CL,1634715831,-20.2208,-70.1431,15.02,74,14,1.45
448,opuwo,NA,1634715620,-18.0607,13.84,26.8,12,9,2.08
449,sabha,LY,1634715833,27.0377,14.4283,21.09,57,100,9.02
450,bosaso,SO,1634715835,11.2842,49.1816,31.91,40,12,3.87
451,kamenka,RU,1634715837,51.3223,42.7678,5.05,59,12,5.22
452,margate,GB,1634715839,51.3813,1.3862,16.84,92,95,1.79
453,porto santo,PT,1634715840,33.072,-16.3415,22.39,88,40,4.12
454,kulhudhuffushi,MV,1634715842,6.6221,73.07,27.5,73,39,6.58
455,blagoyevo,RU,1634715842,63.3667,47.9167,0.7,69,88,4.18
456,talavera de la reina,ES,1634715844,39.9635,-4.8308,18.67,63,92,2.55
457,vestmannaeyjar,IS,1634715845,63.4427,-20.2734,1.52,58,2,9.05
458,kaabong,UG,1634715847,3.4836,34.1492,24.79,51,98,8.48
459,narsaq,GL,1634715848,60.9167,-46.05,0.12,34,0,2.57
460,oksfjord,NO,1634715850,70.2396,22.3479,-0.9,85,100,5.42
461,saint-francois,FR,1634715852,46.4154,3.9054,18.04,100,0,1.03
462,aksu,CN,1634715854,41.1231,80.2644,18.3,16,17,0.93
463,ancud,CL,1634715854,-41.8697,-73.8203,9.68,93,91,2.6
464,marienburg,PL,1634715856,54.0359,19.0266,16.64,86,100,7.95
465,sulphur springs,US,1634715858,33.1385,-95.6011,18.23,88,1,1.54
466,kingman,US,1634715859,35.1894,-114.053,14.39,36,1,1.79
467,geraldton,AU,1634715860,-28.7667,114.6,20.63,56,90,8.23
468,nadym,RU,1634715861,65.5333,72.5167,1.9,76,100,7.51
469,puerto narino,CO,1634715863,-3.7703,-70.3831,22.97,99,100,0.48
470,sao paulo de olivenca,BR,1634715865,-3.3783,-68.8725,21.49,99,100,0.4
471,plettenberg bay,ZA,1634715866,-34.0527,23.3716,21.17,47,0,3.74
472,charagua,BO,1634715868,-19.8,-63.2167,20.03,45,100,0.94
473,albertville,US,1634715870,34.2676,-86.2089,12.75,82,1,1.54
474,maniitsoq,GL,1634715871,65.4167,-52.9,1.13,49,15,3.46
475,bani walid,LY,1634715873,31.7566,13.9942,20.77,64,14,5.3
476,morant bay,JM,1634715875,17.8815,-76.4093,26.79,85,43,3.94
477,tandahimba,TZ,1634715876,-10.75,39.6333,32.41,37,6,2.55
478,trelew,AR,1634715878,-43.249,-65.3051,17.9,42,0,7.02
479,arandis,NA,1634715630,-22.4167,14.9667,10.81,24,90,2.56
480,maues,BR,1634715880,-3.3836,-57.7186,23.55,81,74,0.8
481,oussouye,SN,1634715881,12.485,-16.5469,28.05,75,40,3.26
482,turmalina,BR,1634715883,-17.2856,-42.73,19.01,98,95,1.34
483,tahta,EG,1634715885,26.7693,31.5021,25.18,32,0,7.13
484,killybegs,IE,1634715886,54.6333,-8.45,10.84,66,83,5.43
485,fernandina beach,US,1634715888,30.6697,-81.4626,19.99,94,1,0
486,qiryat gat,IL,1634715889,31.61,34.7642,24.38,100,77,3.61
487,gat,IL,1634715891,31.61,34.7642,24.38,100,77,3.61
488,kralendijk,BQ,1634715892,12.15,-68.2667,27.99,83,40,3.09
489,camacha,PT,1634715893,33.0833,-16.3333,20.85,88,40,4.12
490,codrington,AU,1634715895,-38.2667,141.9667,18.1,65,100,6.48
491,lujan,AR,1634715896,-34.5703,-59.105,16.1,91,0,2.75
492,kastamonu,TR,1634715897,41.5,33.6667,9.01,62,56,1.83
493,trimbak,IN,1634715899,19.9333,73.55,26.28,38,10,1.47
494,mayumba,GA,1634715899,-3.432,10.6554,25.02,84,100,3.25
495,asfi,MA,1634715901,32.2994,-9.2372,22.1,61,100,3.12
496,concarneau,FR,1634715903,47.875,-3.9225,16.7,90,100,8.99
497,ferrol,ES,1634715905,43.4832,-8.2369,19.09,84,7,4.88
498,iralaya,HN,1634715906,15,-83.2333,25.79,86,100,1.33
499,concordia,AR,1634715907,-31.393,-58.0209,13.21,90,0,0.89
500,skjervoy,NO,1634715909,70.0311,20.9714,-0.9,67,100,11.2
501,mastic beach,US,1634715911,40.7668,-72.8521,16.1,69,1,0.89
502,conde,BR,1634715912,-7.2597,-34.9075,22.7,94,20,0
503,altamont,US,1634715913,42.2068,-121.7372,6.91,68,90,3.58
504,palmer,US,1634715915,42.1584,-72.3287,14.75,58,1,5.66
505,noyabrsk,RU,1634715916,63.1994,75.4507,5.35,90,100,5.52
506,veszto,HU,1634715918,46.9167,21.2667,12.54,55,84,4.77
507,faratsiho,MG,1634715919,-19.4,46.95,23.69,37,57,2.58
508,chinu,CO,1634715921,9.1057,-75.3981,22.92,96,41,2.27
509,vizinga,RU,1634715923,61.0749,50.1031,1.87,75,100,3.48
510,madimba,TZ,1634715924,-10.4,40.3333,27.51,66,25,3.99
511,tambopata,PE,1634715926,-12.7333,-69.1833,19.41,85,75,0.35
512,ambilobe,MG,1634715928,-13.2,49.05,35.01,26,17,1.43
513,itumbiara,BR,1634715929,-18.4192,-49.2153,21.53,92,46,1.36
514,bemidji,US,1634715931,47.4736,-94.8803,8.16,88,90,5.14
515,lufilufi,WS,1634715933,-13.8745,-171.5986,26.88,82,49,9.69
516,ambalavao,MG,1634715934,-21.8333,46.9333,25.09,45,97,2.7
517,sitka,US,1634715937,57.0531,-135.33,11.94,37,90,6.69
518,brae,GB,1634715938,60.3964,-1.353,10.95,92,99,8.23
519,ilebo,CD,1634715940,-4.3167,20.5833,25.94,74,99,0.64
520,machiques,VE,1634715942,10.0644,-72.545,23.11,86,8,1.68
521,abnub,EG,1634715943,27.2696,31.1511,23.12,33,1,7.5
522,cleburne,US,1634715944,32.3476,-97.3867,19.81,88,1,3.6
523,ponta delgada,PT,1634715945,37.7333,-25.6667,19.4,77,20,2.57
524,farrukhnagar,IN,1634715947,17.0778,78.2011,31.84,56,46,3.36
525,shiraz,IR,1634715947,29.6036,52.5388,25.69,9,0,0
526,hillsborough,US,1634715949,37.5741,-122.3794,16.29,64,90,2.24
527,olinda,BR,1634715950,-8.0089,-34.8553,26.85,78,75,1.54
528,nata,PA,1634715952,8.3333,-80.5167,23.59,93,100,0.16
529,mokhotlong,LS,1634715953,-29.2894,29.0675,14.88,23,0,3.63
530,merritt island,US,1634715955,28.5392,-80.672,25.55,77,90,3.09
531,la ronge,CA,1634715956,55.1001,-105.2842,1.14,69,1,2.06
532,jaru,BR,1634715957,-10.4389,-62.4664,22.59,91,38,0.65
533,freetown,SL,1634715959,8.484,-13.2299,24.84,78,75,3.09
534,ferme-neuve,CA,1634715960,46.7001,-75.4493,2.88,94,9,1
535,darnah,LY,1634715904,32.767,22.6367,21.88,61,38,4.14
536,vila franca do campo,PT,1634715962,37.7167,-25.4333,19.23,80,20,1.81
537,puerto ayacucho,VE,1634715964,5.6639,-67.6236,22.36,89,99,1.3
538,juba,SS,1634715965,4.8517,31.5825,30.58,53,100,1.33
539,malyn,UA,1634715967,50.7723,29.2383,7.95,70,100,6.3
540,rovaniemi,FI,1634715969,66.5,25.7167,-3.33,93,90,7.2
541,strezhevoy,RU,1634715970,60.7333,77.5889,12.99,67,100,5.48
542,trinidad,BO,1634715972,-14.8333,-64.9,21.4,61,47,1.38
543,saurimo,AO,1634715915,-9.6608,20.3916,21.18,88,75,2.57
544,luleburgaz,TR,1634715974,41.4039,27.3592,14.65,59,100,3.66
545,mulege,MX,1634715977,26.8833,-111.9833,20.55,73,96,1.19
546,le port,RE,1634715978,-20.9373,55.2919,27,84,18,1.04
547,polkowice,PL,1634715980,51.5039,16.0726,15.63,60,100,4.11
548,avera,US,1634715981,33.194,-82.5271,13.93,63,40,2.08
549,iskateley,RU,1634715983,67.6803,53.1512,1.61,98,100,2
550,mehamn,NO,1634715985,71.0357,27.8492,-1.9,73,19,3.39
551,half moon bay,US,1634715987,37.4636,-122.4286,16.62,63,90,2.24
552,port-gentil,GA,1634715988,-0.7193,8.7815,25.98,89,40,3.6
553,chipinge,ZW,1634715990,-20.1883,32.6236,14.77,68,100,1.79
554,hilton head island,US,1634715975,32.2163,-80.7526,15.55,90,2,0
555,sinnai,IT,1634715992,39.3042,9.2036,20.29,88,20,2.06
556,vangaindrano,MG,1634715993,-23.35,47.6,26.31,65,71,2.01
557,melenki,RU,1634715995,55.3343,41.6295,2.98,72,100,3.05
558,amantea,IT,1634715996,39.1332,16.0746,18.58,67,3,0.8
559,necochea,AR,1634715998,-38.5473,-58.7368,8.35,83,0,4.21
560,kendal,GB,1634716000,54.3268,-2.7476,11.73,89,28,2.64
561,taraclia,MD,1634716001,45.9,28.6689,15.02,50,7,5.89
562,morondava,MG,1634716003,-20.2833,44.2833,27.73,60,0,4.76
563,road town,VG,1634716005,18.4167,-64.6167,27.89,78,13,4.95
564,sao gabriel da cachoeira,BR,1634716006,-0.1303,-67.0892,22.26,99,100,0.59
565,ozinki,RU,1634716008,51.1786,49.6769,4.76,70,94,6.74
566,puerto baquerizo moreno,EC,1634716009,-0.9,-89.6,20.68,88,100,3.56
567,coquimbo,CL,1634716011,-29.9533,-71.3436,12.85,87,90,1.03
568,coueron,FR,1634716013,47.2151,-1.7217,17.38,94,90,5.66
569,petatlan,MX,1634716014,17.5167,-101.2667,24.43,87,100,1.74
570,salta,AR,1634716015,-24.7859,-65.4117,14.16,75,0,0.45
571,sakyla,FI,1634716017,61.0333,22.3333,8.02,95,100,6.18
572,pontal do parana,BR,1634716019,-25.6533,-48.5128,17.63,88,28,0.22
573,mozarlandia,BR,1634716020,-14.7447,-50.5706,24.01,73,100,0.1
574,jutai,BR,1634716022,-5.1833,-68.9,21.39,96,67,1.16
575,gilgit,PK,1634716025,35.9221,74.3087,20.42,25,4,1.15
576,bremervorde,DE,1634716025,53.4833,9.1333,15.15,67,100,8.51
577,hunsur,IN,1634716027,12.3075,76.2878,29.79,57,100,1.95
578,sterling,US,1634716027,39.0062,-77.4286,15.71,78,1,1.34
579,gandajika,CD,1634716028,-6.75,23.95,24.95,73,94,1.63
580,port-cartier,CA,1634716030,50.0334,-66.8654,8.06,88,99,3.08
581,suez,EG,1634715970,29.9737,32.5263,23.94,53,91,4.59
582,coihaique,CL,1634716032,-45.5752,-72.0662,10.97,87,75,3.6
583,san carlos de bariloche,AR,1634716033,-41.1456,-71.3082,4.86,65,0,2.57
584,fort nelson,CA,1634716035,58.8053,-122.7002,-3.23,86,20,0
585,sotouboua,TG,1634716037,8.5667,0.9833,23.3,90,100,1.35
586,birjand,IR,1634716039,32.8663,59.2211,29.26,6,0,2.06
587,tequila,MX,1634716040,20.8833,-103.8333,19.98,95,11,0.51
588,high level,CA,1634716041,58.5169,-117.136,4.06,75,90,4.12
589,barra dos coqueiros,BR,1634716043,-10.9089,-37.0386,26.01,83,75,3.6
590,monduli,TZ,1634716045,-3.3,36.45,23.42,46,90,3.97
591,nexo,DK,1634716047,55.0607,15.1306,14.05,89,100,13.27
592,guanica,PR,1634716049,17.9716,-66.908,25.69,88,8,0.45
593,vagur,FO,1634716050,61.4732,-6.8119,4.36,68,100,15.03
594,mokrous,RU,1634716052,51.2333,47.5167,5.35,59,27,6.87
595,talcahuano,CL,1634716053,-36.7167,-73.1167,11.82,94,90,3.6
596,fomboni,KM,1634716055,-12.28,43.7425,25.58,73,38,2.23
597,bud,US,1634716057,39.447,-86.1758,11.23,97,0,2.86
598,miraflores,MX,1634716058,19.2167,-98.8083,16.13,86,99,0.47
599,izhma,RU,1634716059,65.0083,53.9113,1.72,77,100,3.79
600,crystal beach,CA,1634716061,42.8699,-79.0583,16.12,90,98,0.45
601,lipin bor,RU,1634716062,60.2622,37.9763,0.79,74,98,4.53
602,rosarito,MX,1634716064,32.3333,-117.0333,15.53,73,50,1.74
603,nueva guinea,NI,1634716065,11.6876,-84.4562,21.92,98,100,0.95
604,rocha,UY,1634716066,-34.4833,-54.3333,9.41,95,0,2.42
605,galich,RU,1634716068,58.3797,42.3475,2.31,75,100,2.95
606,gorlice,PL,1634716069,49.6556,21.1604,13.75,100,100,5.41
607,sao jose da coroa grande,BR,1634716071,-8.8978,-35.1478,24.21,85,20,3
608,kargasok,RU,1634716073,59.0556,80.8572,10.63,56,81,5.28
609,cloquet,US,1634716074,46.7216,-92.4594,10.34,87,75,2.06
610,huallanca,PE,1634716076,-9.8993,-76.9417,6.57,97,100,1.11
611,huarmey,PE,1634716077,-10.0681,-78.1522,17.95,87,100,4.28
612,aksarka,RU,1634716079,66.5606,67.7975,0.73,84,63,4.96
613,fonte boa,BR,1634716081,-2.4959,-66.2662,22.02,99,44,0.84
614,biltine,TD,1634716083,14.5333,20.9167,33.57,13,10,11.02
615,tucuma,BR,1634716084,-0.1833,-50.05,24.33,91,77,2.17
616,puerto colombia,CO,1634716087,10.9878,-74.9547,28.05,89,94,4.55
617,nanortalik,GL,1634716088,60.1432,-45.2371,3.1,74,0,0.93
618,phulji,PK,1634716090,26.8825,67.6807,37.08,8,0,3.26
619,sokol,RU,1634716090,59.4617,40.1206,1.5,69,76,2.98
620,sechura,PE,1634716092,-5.5569,-80.8222,18.04,85,52,4.15
621,kovdor,RU,1634716094,67.5662,30.4758,-2.99,68,100,3.15
622,sacramento,US,1634715940,38.4666,-121.3177,17.97,54,90,0.89
623,andros town,BS,1634716096,24.7,-77.7667,25.98,59,100,5.85
624,khanpur,PK,1634716097,28.6453,70.6567,38.02,5,0,5.96
625,chachapoyas,PE,1634716097,-6.2317,-77.869,11.96,96,100,0.72
626,lajas,PR,1634716099,18.05,-67.0593,25.25,86,9,2.24
627,sembe,CG,1634716102,1.6481,14.5806,21.7,99,100,0.83
628,ouahigouya,BF,1634716104,13.5828,-2.4216,27.68,63,19,3.87
629,krasnosilka,UA,1634716105,46.6226,30.7742,12.06,59,11,2.04
630,sulina,RO,1634716107,45.1559,29.6536,15.13,51,33,3.64
631,bageshwar,IN,1634716109,29.85,79.7667,25.65,63,37,1.39
632,mugumu,TZ,1634716109,-1.85,34.7,27.94,37,100,2.99
633,tocopilla,CL,1634716111,-22.092,-70.1979,15.53,65,0,1.22
634,la rioja,ES,1634716113,42.25,-2.5,11.94,68,100,1.51
635,great yarmouth,GB,1634716115,52.6083,1.7305,16.24,87,93,8.42
636,winslow,US,1634716116,35.0242,-110.6974,4.1,65,1,3.09
637,basoko,CD,1634715939,1.2391,23.616,22.21,90,100,1.12
638,dolores,AR,1634716118,-36.3132,-57.6792,10.21,94,0,2.38
639,bajil,YE,1634716119,15.0584,43.2851,34.16,42,90,3.09
640,staryy nadym,RU,1634716121,65.6118,72.6842,1.95,76,100,7.26
641,monrovia,LR,1634716089,6.3005,-10.7969,24.87,79,100,1.92
