,City,Country,Datetime,Latitude,Longitude,Max temperature (c),Humidity (%),Cloudiness (%),Wind Speed (mps)
82,penzance,GB,1634715310,50.1186,-5.5371,15.38,94,20,7.2
83,saldanha,ZA,1634715311,-33.0117,17.9442,27.03,38,97,3.39
84,richards bay,ZA,1634715042,-28.783,32.0377,21.25,51,0,4.02
85,dufftown,GB,1634715313,57.4333,-3.1333,9.28,69,82,7.74
86,rock sound,BS,1634715315,24.9,-76.2,26.46,71,99,8.5
87,dawlatabad,AF,1634715316,36.4141,64.9053,26.09,8,68,2.8
88,ati,TD,1634715317,13.2154,18.3353,31.85,20,86,4.6
89,kitimat,CA,1634715318,54.0524,-128.6534,7.21,62,100,2.07
90,anse-bertrand,GP,1634715320,16.4721,-61.5078,24.9,74,20,7.11
91,boa vista,BR,1634715283,2.8197,-60.6733,24.99,83,75,2.06
92,tobermory,CA,1634715322,45.2501,-81.6665,15.38,80,5,5.93
93,nioro,GM,1634715323,13.35,-15.75,24.83,84,51,1.97
94,celestun,MX,1634715324,20.8667,-90.4,24.56,87,93,3.88
95,coro,VE,1634715244,11.4045,-69.6734,25.87,85,13,4.16
96,vilhena,BR,1634715326,-12.7406,-60.1458,19.35,96,19,0.84
97,san jose,US,1634715165,37.3394,-121.895,17.03,52,75,2.57
98,zhanaozen,KZ,1634715328,43.3,52.8,12.67,50,98,8.39
99,san patricio,US,1634715330,28.017,-97.5169,25.46,81,65,2.25
100,kapaa,US,1634715331,22.0752,-159.319,22.99,78,20,3.6
101,bethel,US,1634715333,41.3712,-73.414,16.2,66,1,4.12
102,lucea,JM,1634715334,18.451,-78.1736,26.92,80,99,4.96
103,conceicao da barra,BR,1634715335,-18.5933,-39.7322,21.6,95,100,3.01
104,fochville,ZA,1634715337,-26.4886,27.4939,17.48,32,6,3.57
105,statesboro,US,1634715338,32.4488,-81.7832,11.08,93,1,0
106,longyearbyen,SJ,1634715340,78.2186,15.6401,-11.09,67,20,6.17
107,heinola,FI,1634715342,61.2056,26.0381,3.05,94,100,6.91
108,rapid valley,US,1634715343,44.0625,-103.1463,2.14,94,90,2.68
109,sergeyevka,KZ,1634715344,53.88,67.4158,14.1,26,98,5.39
110,niquelandia,BR,1634715266,-14.4739,-48.4597,22.23,76,99,0.63
111,oktyabrskoye,RU,1634715347,43.0645,44.7417,5.08,87,90,4
112,montlucon,FR,1634715251,46.3333,2.6,17.84,75,100,1.79
113,beloha,MG,1634715349,-25.1667,45.05,23.35,63,100,5.32
114,caravelas,BR,1634715350,-17.7125,-39.2481,21.34,96,100,2.37
115,provideniya,RU,1634715352,64.3833,-173.3,-4.03,88,75,2.03
116,cervo,ES,1634715354,43.6702,-7.4101,17.95,85,30,4.61
117,faya,SA,1634715355,18.3851,42.4509,23.06,18,66,4.88
118,komsomolskoye,RU,1634715357,55.2567,47.5461,3.27,63,100,6.02
119,autazes,BR,1634715359,-3.5797,-59.1306,23.73,81,53,0.81
120,omboue,GA,1634715330,-1.5746,9.2618,26.6,76,99,2.64
121,marawi,PH,1634715288,7.9986,124.2928,22.13,94,100,1.43
122,metu,ET,1634715345,8.3,35.5833,23.89,39,38,2.26
123,tyulgan,RU,1634715362,52.3405,56.166,3.9,66,100,6.85
124,zarate,AR,1634715212,-34.0981,-59.0286,15.53,91,0,1.89
125,makokou,GA,1634715330,0.5738,12.8642,21.19,94,90,2.06
126,gillette,US,1634715283,44.2911,-105.5022,0.53,96,90,4.47
127,thompson,CA,1634715365,55.7435,-97.8558,1.09,60,90,3.6
128,sioux lookout,CA,1634715366,50.1001,-91.917,0.21,80,20,3.09
129,mahebourg,MU,1634715367,-20.4081,57.7,26.81,69,75,6.69
130,sarkand,KZ,1634715369,45.41,79.9186,18.97,19,14,2.3
131,vardo,NO,1634715370,70.3705,31.1107,-5.89,58,35,1.07
132,effium,NG,1634715372,6.6292,8.0593,24.57,82,99,1.87
133,hamilton,US,1634715374,39.1834,-84.5333,12.14,87,90,0
134,palora,EC,1634715376,-1.7,-77.9333,17.81,98,100,1.09
135,tautira,PF,1634715378,-17.7333,-149.15,26.67,75,28,5.62
136,maldonado,UY,1634715232,-34.6667,-54.9167,12.66,94,0,2.85
137,tasiilaq,GL,1634715380,65.6145,-37.6368,0.09,59,57,4.84
138,san agustin acasaguastlan,GT,1634715382,14.95,-89.9667,23.42,98,100,0.36
139,dingle,PH,1634715383,10.9995,122.6711,26.6,88,100,3.47
140,warri,NG,1634715383,5.5167,5.75,24.37,94,100,1.27
141,haines junction,CA,1634715385,60.7522,-137.5108,-5.03,93,45,0.51
142,karaidel,RU,1634715387,55.8337,56.9069,3.34,62,100,3.65
143,itarema,BR,1634715388,-2.9248,-39.9167,25.87,80,66,3.74
144,yertsevo,RU,1634715390,60.7966,40.086,0.37,70,52,2.16
145,visnes,NO,1634715392,59.3556,5.2242,13.65,94,90,7.2
146,manta,EC,1634715238,-0.95,-80.7333,22.88,83,75,1.54
147,paamiut,GL,1634715394,61.994,-49.6678,2.83,52,0,1.72
148,ketchikan,US,1634715396,55.3422,-131.6461,6.92,71,100,2.86
149,anloga,GH,1634715249,5.7947,0.8973,26.12,78,100,3.83
150,waw,SS,1634715399,7.7029,27.9953,30,55,100,2.3
151,tazmalt,DZ,1634715400,36.3868,4.3989,20.14,46,96,2.2
152,kailua,US,1634715311,21.4022,-157.7394,23.99,71,20,4.63
153,winnemucca,US,1634715402,40.973,-117.7357,7.03,76,1,3.6
154,chalchihuites,MX,1634715404,23.4833,-103.8833,11.9,82,3,1.38
155,stephenville,US,1634715405,32.2207,-98.2023,19.05,84,1,3.09
156,namibe,AO,1634715406,-15.1961,12.1522,21.35,83,75,2.57
157,hualmay,PE,1634715408,-11.0964,-77.6139,17.42,86,100,3.92
158,casablanca,MA,1634715169,33.5928,-7.6192,19.19,100,75,2.06
159,alofi,NU,1634715410,-19.0595,-169.9187,22.94,73,20,3.6
160,fare,PF,1634715411,-16.7,-151.0167,26.57,78,40,7.01
161,touros,BR,1634715413,-5.1989,-35.4608,24.5,75,84,4.34
162,castro,BR,1634715415,-24.7911,-50.0119,9.4,96,100,2.84
163,imbituba,BR,1634715417,-28.24,-48.6703,17.12,81,96,1.39
164,east london,ZA,1634715419,-33.0153,27.9116,22.52,53,0,5.66
165,rio gallegos,AR,1634715420,-51.6226,-69.2181,15.03,47,0,8.75
166,lebu,CL,1634715318,-37.6167,-73.65,11.36,93,89,3.75
167,goderich,CA,1634715422,43.7501,-81.7165,15.18,82,0,2.06
168,baymak,RU,1634715424,52.5933,58.3225,6.29,82,100,4.36
169,coahuayana,MX,1634715426,18.7333,-103.6833,24.76,90,69,1.71
170,san pedro,PH,1634715427,14.35,121.0167,30.57,74,75,4.12
171,nome,US,1634715427,64.5011,-165.4064,2.04,81,90,4.63
172,kruisfontein,ZA,1634715429,-34.0033,24.7314,22.16,31,0,3.31
173,lagoa,PT,1634715431,39.05,-27.9833,20.18,66,100,4.59
174,itambe,BR,1634715433,-15.245,-40.6244,19.58,98,41,0.92
175,bongandanga,CD,1634715434,1.5,21.05,27.49,65,100,1.19
176,chuy,UY,1634715331,-33.6971,-53.4616,11.56,88,0,2.74
177,barra do corda,BR,1634715438,-5.5,-45.25,22.43,90,8,0.87
178,marsa matruh,EG,1634715440,31.3525,27.2453,24.11,53,40,3.09
179,tarut,SA,1634715441,26.5733,50.0369,33.11,36,0,6.4
180,calvinia,ZA,1634715443,-31.4707,19.776,24.9,14,0,8.23
181,mecca,SA,1634715444,21.4267,39.8261,36.45,17,5,2.55
182,bachaquero,VE,1634715446,9.9694,-71.1494,25.78,85,6,2.2
183,mpongwe,ZM,1634715447,-13.5091,28.155,28.29,36,50,4.98
184,moose factory,CA,1634715449,51.2585,-80.6094,6,93,90,5.14
185,galle,LK,1634715336,6.0367,80.217,28.43,75,64,4.39
186,port hueneme,US,1634715434,34.1478,-119.1951,16.25,77,1,2.57
187,russellville,US,1634715318,35.2784,-93.1338,12.08,82,1,0
188,san borja,BO,1634715451,-14.8167,-66.85,22.99,62,100,1.16
189,vytegra,RU,1634715453,61.0064,36.4481,0.89,73,100,3.77
190,freeport,US,1634715454,40.6576,-73.5832,16.65,63,1,3.13
191,jurm,AF,1634715456,36.8648,70.8342,21.45,12,82,3.61
192,luanda,AO,1634715184,-8.8368,13.2343,25,78,75,3.09
193,totolapan,MX,1634715458,18.5167,-96.1833,23.29,90,100,1.73
194,kisangani,CD,1634715343,0.5167,25.2,26.2,78,75,4.12
195,chicama,PE,1634715460,-7.8447,-79.1469,18.6,85,100,2.72
